市区町村,月,回収施設数合計,延べ宿泊者数,実宿泊者数,外国人延べ宿泊者数,外国人実宿泊者数,定員稼働率,利用客室数,客室稼働率
三重県三重郡菰野町,9月,10,10212,9630,112,82,27.6,4071,47.6
三重県伊勢市,1月,14,47796,38724,1059,698,50.9,34624,70.3
三重県伊勢市,2月,13,41090,32907,824,613,53.3,29125,66.0
三重県伊勢市,3月,11,45348,36630,1237,991,64.1,33150,81.3
三重県伊勢市,4月,15,48484,38943,2134,1380,51.7,37040,73.1
三重県伊勢市,5月,12,47660,37318,1612,1089,58.0,34177,73.3
三重県伊勢市,6月,11,35487,29112,1536,978,47.3,30043,68.6
三重県伊勢市,7月,15,43522,35423,1166,945,46.3,31583,61.2
三重県伊勢市,8月,13,49477,41272,1046,799,59.8,37261,76.8
三重県伊勢市,9月,14,44580,35374,1331,804,53.6,31913,67.2
三重県伊勢市,10月,12,48048,39810,2004,1543,61.3,32907,72.8
三重県伊勢市,11月,12,49155,40460,1747,1408,69.8,36373,86.4
三重県伊勢市,12月,12,41253,34124,1458,1023,56.7,32632,75.0
三重県志摩市,1月,20,48427,46584,1081,1025,27.0,20540,41.0
三重県志摩市,2月,21,49439,47648,883,832,30.3,21799,47.9
三重県志摩市,3月,20,71827,69016,2265,2093,41.8,27502,60.0
三重県志摩市,4月,18,51644,48669,2722,2598,32.1,22999,52.2
三重県志摩市,5月,16,49271,47349,1553,1452,33.3,19904,51.4
三重県志摩市,6月,16,37580,36027,1368,1293,25.5,15807,41.0
三重県志摩市,7月,17,51570,48509,1104,1039,33.6,19946,49.8
三重県志摩市,8月,17,86216,80401,1680,1555,56.2,29314,73.2
三重県志摩市,9月,16,51212,49180,1229,1165,34.9,21810,57.2
三重県志摩市,10月,18,58146,55552,1937,1820,41.5,21247,53.8
三重県志摩市,11月,19,72394,68849,4647,4277,46.4,28555,67.9
三重県志摩市,12月,18,56588,53615,2619,2360,36.6,22713,60.3
三重県津市,1月,17,34340,27471,1572,632,39.4,26769,55.6
三重県津市,2月,19,36377,29385,2256,1026,40.1,30042,65.5
三重県津市,3月,18,48477,39532,3635,1803,48.9,37006,73.3
三重県津市,4月,17,43563,33421,6020,3223,46.4,31861,65.9
三重県津市,5月,17,41350,31767,4378,2214,42.6,32115,64.3
三重県津市,6月,16,31410,25544,2641,949,36.5,26327,62.5
三重県津市,7月,16,35527,27821,1397,868,44.0,28022,63.0
三重県津市,8月,15,40631,33087,1228,604,51.5,29039,65.4
三重県津市,9月,16,35548,27237,3373,1499,41.5,31243,66.7
三重県津市,10月,17,45334,36158,4760,2074,46.7,35101,70.2
三重県津市,11月,16,41453,32594,3794,1611,46.4,31949,71.6
三重県津市,12月,16,36695,29894,2744,1452,39.8,29346,63.7
三重県鈴鹿市,1月,11,28116,22989,1233,1003,42.3,20650,52.8
三重県鈴鹿市,2月,11,24593,20711,567,431,45.2,17829,56.8
三重県鈴鹿市,3月,11,39844,33288,1145,1035,59.9,27884,71.3
三重県鈴鹿市,4月,10,32597,24281,4615,3337,53.4,24565,70.5
三重県鈴鹿市,5月,10,33425,25239,1089,691,53.0,24688,68.6
三重県鈴鹿市,6月,10,32885,26994,1732,1078,52.3,25668,69.8
三重県鈴鹿市,9月,11,34499,28477,2184,1406,53.6,24107,63.7
三重県鈴鹿市,12月,10,33140,28897,2100,1836,56.4,21394,65.5
三重県鳥羽市,1月,16,39042,37318,557,493,29.1,14122,53.2
三重県鳥羽市,2月,18,41457,39625,420,388,32.1,15619,61.2
三重県鳥羽市,3月,18,66452,62927,1272,1147,43.9,23538,77.4
三重県鳥羽市,4月,17,38179,35640,1423,1103,29.0,15073,58.8
三重県鳥羽市,5月,18,48725,45602,1094,937,31.3,18624,58.6
三重県鳥羽市,6月,18,39854,35398,3414,2373,26.5,14845,47.8
三重県鳥羽市,7月,19,50293,46088,947,763,32.3,17820,55.8
三重県鳥羽市,8月,17,68654,63695,481,427,46.7,21472,72.8
三重県鳥羽市,9月,18,44144,41084,1517,1264,32.5,17515,58.8
三重県鳥羽市,10月,17,54707,50828,1404,1064,35.8,21304,69.9
三重県鳥羽市,11月,15,57562,53319,1555,1268,41.0,21418,78.4
三重県鳥羽市,12月,17,55542,53506,1441,1267,35.7,20015,64.2
京都府京丹後市,1月,22,20444,18518,478,354,34.7,9911,53.8
京都府京丹後市,2月,19,15825,13906,231,140,35.9,8378,57.3
京都府京丹後市,3月,21,20877,18558,461,277,39.4,10724,62.4
